"","x"
"658","ANGPT2"
"659","ANGPT4"
"660","ANGPTL1"
"661","ANGPTL2"
"662","ANGPTL3"
"663","ANGPTL4"
"664","ANGPTL5"
"665","ANGPTL6"
"666","ANGPTL7"
"667","ANGPTL8"
"668","ANHX"
"669","ANK1"
"670","ANK2"
"671","ANK3"
"672","ANKAR"
"673","ANKDD1A"
"674","ANKDD1B"
"675","ANKEF1"
"676","ANKFN1"
"677","ANKFY1"
"678","ANKH"
"679","ANKHD1"
"680","ANKHD1-EIF4EBP3"
"681","ANKIB1"
"682","ANKK1"
"683","ANKLE1"
"684","ANKLE2"
"685","ANKMY1"
"686","ANKMY2"
"687","ANKRA2"
"688","ANKRD1"
"689","ANKRD10"
"690","ANKRD11"
"691","ANKRD12"
"692","ANKRD13A"
"693","ANKRD13B"
"694","ANKRD13C"
"695","ANKRD13D"
"696","ANKRD16"
"697","ANKRD17"
"698","ANKRD18A"
"699","ANKRD18B"
"700","ANKRD2"
"701","ANKRD20A1"
"702","ANKRD20A2"
"703","ANKRD20A3"
"704","ANKRD20A4"
"705","ANKRD22"
"706","ANKRD23"
"707","ANKRD24"
"708","ANKRD26"
"709","ANKRD27"
"710","ANKRD28"
"711","ANKRD29"
"712","ANKRD30A"
"713","ANKRD30B"
"714","ANKRD30BL"
"715","ANKRD31"
"716","ANKRD33"
"717","ANKRD33B"
"718","ANKRD34A"
"719","ANKRD34B"
"720","ANKRD34C"
"721","ANKRD35"
"722","ANKRD36"
"723","ANKRD36B"
"724","ANKRD36C"
"725","ANKRD37"
"726","ANKRD39"
"727","ANKRD40"
"728","ANKRD40CL"
"729","ANKRD42"
"730","ANKRD44"
"731","ANKRD45"
"732","ANKRD46"
"733","ANKRD49"
"734","ANKRD50"
"735","ANKRD52"
"736","ANKRD53"
"737","ANKRD54"
"738","ANKRD55"
"739","ANKRD6"
"740","ANKRD60"
"741","ANKRD61"
"742","ANKRD62"
"743","ANKRD63"
"744","ANKRD65"
"745","ANKRD66"
"746","ANKRD7"
"747","ANKRD9"
"748","ANKS1A"
"749","ANKS1B"
"750","ANKS3"
"751","ANKS4B"
"752","ANKS6"
"753","ANKUB1"
"754","ANKZF1"
"755","ANLN"
"756","ANO1"
"757","ANO10"
"758","ANO2"
"759","ANO3"
"760","ANO4"
"761","ANO5"
"762","ANO6"
"763","ANO7"
"764","ANO8"
"765","ANO9"
"766","ANOS1"
"767","ANP32A"
"768","ANP32B"
"769","ANP32D"
"770","ANP32E"
"771","ANPEP"
"772","ANTXR1"
"773","ANTXR2"
"774","ANTXRL"
"775","ANXA1"
"776","ANXA10"
"777","ANXA11"
"778","ANXA13"
"779","ANXA2"
"780","ANXA2R"
"781","ANXA3"
"782","ANXA4"
"783","ANXA5"
"784","ANXA6"
"785","ANXA7"
"786","ANXA8"
"787","ANXA8L1"
"788","ANXA9"
"789","AOAH"
"790","AOC1"
"791","AOC2"
"792","AOC3"
"793","AOX1"
"794","AP1AR"
"795","AP1B1"
"796","AP1G1"
"797","AP1G2"
"798","AP1M1"
"799","AP1M2"
"800","AP1S1"
"801","AP1S2"
"802","AP1S3"
"803","AP2A1"
"804","AP2A2"
"805","AP2B1"
"806","AP2M1"
"807","AP2S1"
"808","AP3B1"
"809","AP3B2"
"810","AP3D1"
"811","AP3M1"
"812","AP3M2"
"813","AP3S1"
"814","AP3S2"
"815","AP4B1"
"816","AP4E1"
"817","AP4M1"
"818","AP4S1"
"819","AP5B1"
"820","AP5M1"
"821","AP5S1"
"822","AP5Z1"
"823","APAF1"
"824","APBA1"
"825","APBA2"
"826","APBB1"
"827","APBB1IP"
"828","APBB2"
"829","APBB3"
"830","APC"
"831","APC2"
"832","APCDD1"
"833","APCDD1L"
"834","APCS"
"835","APEH"
"836","APELA"
"837","APEX1"
"838","APEX2"
"839","APH1A"
"840","APH1B"
"841","API5"
"842","APIP"
"843","APLF"
"844","APLN"
"845","APLNR"
"846","APLP1"
"847","APLP2"
"848","APMAP"
"849","APOA1"
"850","APOA2"
"851","APOA4"
"852","APOA5"
"853","APOB"
"854","APOBEC1"
"855","APOBEC2"
"856","APOBEC3A"
"857","APOBEC3B"
"858","APOBEC3C"
"859","APOBEC3D"
"860","APOBEC3F"
"861","APOBEC3G"
"862","APOBEC3H"
"863","APOBEC4"
"864","APOBR"
"865","APOC1"
"866","APOC2"
"867","APOC3"
"868","APOC4"
"869","APOC4-APOC2"
"870","APOD"
"871","APOE"
"872","APOF"
"873","APOH"
"874","APOL1"
"875","APOL2"
"876","APOL3"
"877","APOL4"
"878","APOL5"
"879","APOL6"
"880","APOLD1"
"881","APOM"
"882","APOO"
"883","APOOL"
"884","APOPT1"
"885","APP"
"886","APPBP2"
"887","APPL1"
"888","APPL2"
"889","APRT"
"890","APTX"
"891","AQP1"
"892","AQP10"
"893","AQP11"
"894","AQP12A"
"895","AQP12B"
"896","AQP2"
"897","AQP3"
"898","AQP4"
"899","AQP5"
"900","AQP6"
"901","AQP7"
"902","AQP8"
"903","AQP9"
"904","AQR"
"905","AR"
"906","ARAF"
"907","ARAP1"
"908","ARAP2"
"909","ARAP3"
"910","ARC"
"911","ARCN1"
"912","AREG"
"913","AREL1"
"914","ARF1"
"915","ARF3"
"916","ARF4"
"917","ARF5"
"918","ARF6"
"919","ARFGAP1"
"920","ARFGAP2"
"921","ARFGAP3"
"922","ARFGEF1"
"923","ARFGEF2"
"924","ARFGEF3"
"925","ARFIP1"
"926","ARFIP2"
"927","ARFRP1"
"928","ARG1"
"929","ARG2"
"930","ARGFX"
"931","ARGLU1"
"932","ARHGAP1"
"933","ARHGAP10"
"934","ARHGAP11A"
"935","ARHGAP11B"
"936","ARHGAP12"
"937","ARHGAP15"
"938","ARHGAP17"
"939","ARHGAP18"
"940","ARHGAP19"
"941","ARHGAP20"
"942","ARHGAP21"
"943","ARHGAP22"
"944","ARHGAP23"
"945","ARHGAP24"
"946","ARHGAP25"
"947","ARHGAP26"
"948","ARHGAP27"
"949","ARHGAP28"
"950","ARHGAP29"
"951","ARHGAP30"
"952","ARHGAP31"
"953","ARHGAP32"
"954","ARHGAP33"
"955","ARHGAP35"
"956","ARHGAP36"
"957","ARHGAP39"
"958","ARHGAP4"
"959","ARHGAP40"
"960","ARHGAP42"
"961","ARHGAP44"
"962","ARHGAP5"
"963","ARHGAP6"
"964","ARHGAP8"
"965","ARHGAP9"
"966","ARHGDIA"
"967","ARHGDIB"
"968","ARHGDIG"
"969","ARHGEF1"
"970","ARHGEF10"
"971","ARHGEF10L"
"972","ARHGEF11"
"973","ARHGEF12"
"974","ARHGEF15"
"975","ARHGEF16"
"976","ARHGEF17"
"977","ARHGEF18"
"978","ARHGEF19"
"979","ARHGEF2"
"980","ARHGEF25"
"981","ARHGEF26"
"982","ARHGEF28"
"983","ARHGEF3"
"984","ARHGEF33"
"985","ARHGEF35"
"986","ARHGEF37"
"987","ARHGEF38"
"988","ARHGEF39"
"989","ARHGEF4"
"990","ARHGEF40"
"991","ARHGEF5"
"992","ARHGEF6"
"993","ARHGEF7"
"994","ARHGEF9"
"995","ARID1A"
"996","ARID1B"
"997","ARID2"
"998","ARID3A"
"999","ARID3B"
"1000","ARID3C"
"1001","ARID4A"
"1002","ARID4B"
"1003","ARID5A"
"1004","ARID5B"
"1005","ARIH1"
"1006","ARIH2"
"1007","ARIH2OS"
"1008","ARL1"
"1009","ARL10"
"1010","ARL11"
"1011","ARL13A"
"1012","ARL13B"
"1013","ARL14"
"1014","ARL14EP"
"1015","ARL14EPL"
"1016","ARL15"
"1017","ARL16"
"1018","ARL17A"
"1019","ARL17B"
"1020","ARL2"
"1021","ARL2BP"
"1022","ARL3"
"1023","ARL4A"
"1024","ARL4C"
"1025","ARL4D"
"1026","ARL5A"
"1027","ARL5B"
"1028","ARL5C"
"1029","ARL6"
"1030","ARL6IP1"
"1031","ARL6IP4"
"1032","ARL6IP5"
"1033","ARL6IP6"
"1034","ARL8A"
"1035","ARL8B"
"1036","ARL9"
"1037","ARMC1"
"1038","ARMC10"
"1039","ARMC12"
"1040","ARMC2"
"1041","ARMC3"
"1042","ARMC4"
"1043","ARMC5"
"1044","ARMC6"
"1045","ARMC7"
"1046","ARMC8"
"1047","ARMC9"
"1048","ARMCX1"
"1049","ARMCX2"
"1050","ARMCX3"
"1051","ARMCX4"
"1052","ARMCX5"
"1053","ARMCX6"
"1054","ARMH1"
"1055","ARMH2"
"1056","ARMH3"
"1057","ARMH4"
"1058","ARMS2"
"1059","ARMT1"
"1060","ARNT"
"1061","ARNT2"
"1062","ARNTL"
"1063","ARNTL2"
"1064","ARPC1A"
"1065","ARPC1B"
"1066","ARPC2"
"1067","ARPC3"
"1068","ARPC4"
"1069","ARPC4-TTLL3"
"1070","ARPC5"
"1071","ARPC5L"
"1072","ARPIN"
"1073","ARPP19"
"1074","ARPP21"
"1075","ARR3"
"1076","ARRB1"
"1077","ARRB2"
"1078","ARRDC1"
"1079","ARRDC2"
"1080","ARRDC3"
"1081","ARRDC4"
"1082","ARRDC5"
"1083","ARSA"
"1084","ARSB"
"1085","ARSD"
"1086","ARSE"
"1087","ARSF"
"1088","ARSG"
